Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
TPTA.S22IC,1986.12,18232,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,1987.12,20510,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,1988.12,27310,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,1989.12,44006,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,1990.12,56438,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,1991.12,35361,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,1992.12,30241,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,1993.12,30943,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,1994.12,38936,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,1995.12,46952,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,1996.12,56367,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,1997.12,45275,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,1998.12,41669,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,1999.12,48418,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,2000.12,41114,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,2001.12,41622,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,2002.12,41110,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,2003.12,43228,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
